Filename,OriginalLength,ObfuscatedLength,Time
func_100032.js,2055,1883,88.055
func_100033.js,657,886,48.336
func_100034.js,236,768,48.271
func_100035.js,280,699,35.277
func_100036.js,1022,826,45.263
func_100037.js,566,833,43.329
func_100038.js,613,540,31.305
func_100039.js,232,1173,57.257
func_10004.js,264,732,34.209
func_100040.js,862,1177,63.522
func_100041.js,772,1265,62.899
func_100042.js,905,1398,68.101
func_100043.js,312,1144,56.873
func_100044.js,279,846,41.727
func_100045.js,302,797,37.645
func_100046.js,2723,2244,115.826
func_100047.js,179,535,23.688
func_100048.js,305,736,30.928
func_100049.js,155,683,28.031
func_10005.js,177,1521,73.568
func_100050.js,197,650,28.152
func_100051.js,254,571,29.423
func_100052.js,153,607,33.873
func_100053.js,351,705,32.623
func_100054.js,233,716,29.529
func_100055.js,135,649,27.581
func_100056.js,296,648,31.388
func_100057.js,316,701,38.504
func_100058.js,579,1024,52.908
func_100059.js,259,762,36.711
func_10006.js,300,505,22.898
func_100060.js,310,927,48.528
func_100061.js,1303,1118,62.273
func_100062.js,148,532,24.497
func_100063.js,1690,1763,75.288
func_100064.js,595,1249,59.454
func_100065.js,880,1116,51.252
func_100066.js,673,672,34.574
func_100067.js,1561,1100,59.659
func_100068.js,182,1402,72.555
func_100069.js,233,703,30.247
func_10007.js,11517,5161,394.912
func_100070.js,302,694,30.472
func_100071.js,3755,1339,134.131
func_100072.js,1429,1506,76.184
func_100073.js,513,591,52.856
func_100074.js,185,527,22.627
func_100075.js,148,621,25.675
func_100076.js,634,880,46.184
func_100077.js,276,767,67.667
func_100078.js,741,885,44.595
func_100079.js,1427,1902,84.645
func_10008.js,2679,2934,119.613
func_100080.js,870,1022,46.706
func_100081.js,330,740,32.511
func_100082.js,8658,2401,222.764
func_100083.js,203,744,33.883
func_100084.js,2069,2022,86.523
func_100085.js,232,962,34.502
func_100086.js,940,1083,58.389
func_100087.js,584,591,56.754
